dt,accumulated_time,flow_x,flow_y,tof_strength,x,y,roll,pitch,yaw,altitude,tof_h,baro_h
0.02,0.02,-3,-1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.11699999682605267
0.02,0.02,0,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.11699999682605267
0.02,0.02,0,-1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.11699999682605267
0.02,0.02,0,-1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.11699999682605267
0.02,0.02,0,-1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.11699999682605267
0.02,0.02,0,-1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.11699999682605267
0.02,0.02,-1,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.11699999682605267
0.02,0.02,0,-1,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.11699999682605267
0.02,0.02,1,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.11699999682605267
0.02,0.02,1,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.11699999682605267
0.02,0.02,2,0,100,0.0,0.0,-0.008726646259971648,-0.05585053606381854,0.0,0.08686103895568548,0.08686103895568548,0.11699999682605267
